Date,AAPL,ABBV,AMZN,AVGO,BAC,BRK-B,COST,CVX,DIS,FB,GOOG,GOOGL,HD,JNJ,JPM,KO,MA,MSFT,NVDA,PFE,PG,TSLA,UNH,V,XOM
2016-07-06,23.88249969482422,63.369998931884766,737.6099853515625,150.6300048828125,12.859999656677246,142.50999450683594,156.00999450683594,104.58000183105469,98.44999694824219,116.69999694824219,697.77001953125,708.969970703125,131.57000732421875,122.63999938964844,60.189998626708984,45.27000045776367,86.83000183105469,51.380001068115234,11.912500381469727,34.022769927978516,85.02999877929688,42.88800048828125,142.3800048828125,74.05999755859375,94.08999633789062
2016-07-07,23.985000610351562,63.43000030517578,736.5700073242188,150.99000549316406,13.010000228881836,141.91000366210938,163.6999969482422,103.05000305175781,98.41000366210938,115.8499984741211,695.3599853515625,707.260009765625,131.16000366210938,122.51000213623047,60.58000183105469,45.09000015258789,87.80999755859375,51.380001068115234,12.22249984741211,33.937381744384766,84.83000183105469,43.1879997253418,140.8000030517578,74.51000213623047,92.95999908447266
2016-07-08,24.170000076293945,64.16000366210938,745.8099975585938,155.13999938964844,13.170000076293945,143.64999389648438,165.44000244140625,104.7699966430664,99.62000274658203,117.23999786376953,705.6300048828125,717.780029296875,134.33999633789062,122.8499984741211,61.83000183105469,45.380001068115234,88.55999755859375,52.29999923706055,12.712499618530273,34.26945114135742,85.7699966430664,43.35599899291992,141.27000427246094,76.41999816894531,93.54000091552734
2016-07-11,24.2450008392334,64.3499984741211,753.780029296875,157.36000061035156,13.210000038146973,143.92999267578125,166.72000122070312,105.38999938964844,99.9800033569336,117.87000274658203,715.0900268554688,727.2000122070312,135.14999389648438,122.93000030517578,62.27000045776367,45.56999969482422,88.75,52.59000015258789,13.005000114440918,34.29791259765625,85.75,44.95600128173828,140.32000732421875,76.5199966430664,93.88999938964844
2016-07-12,24.354999542236328,65.5,748.2100219726562,158.58999633789062,13.539999961853027,144.6699981689453,166.27999877929688,106.77999877929688,100.19999694824219,117.93000030517578,720.6400146484375,732.510009765625,134.83999633789062,122.91999816894531,63.20000076293945,45.58000183105469,90.0,53.209999084472656,13.199999809265137,34.38330078125,85.75,44.93000030517578,139.86000061035156,77.4800033569336,94.94999694824219
2016-07-13,24.217500686645508,64.7699966430664,742.6300048828125,157.41000366210938,13.4399995803833,145.92999267578125,166.77999877929688,106.6500015258789,99.87999725341797,116.77999877929688,716.97998046875,729.47998046875,133.55999755859375,123.0,63.15999984741211,45.7400016784668,90.33999633789062,53.5099983215332,13.194999694824219,34.44971466064453,85.88999938964844,44.50600051879883,141.47999572753906,77.45999908447266,94.87999725341797
2016-07-14,24.697500228881836,63.619998931884766,741.2000122070312,160.7899932861328,13.649999618530273,145.72999572753906,166.94000244140625,106.69999694824219,99.97000122070312,117.29000091552734,720.9500122070312,735.7999877929688,134.5399932861328,123.18000030517578,64.12000274658203,45.689998626708984,91.44999694824219,53.7400016784668,13.329999923706055,35.02846145629883,85.87000274658203,44.305999755859375,140.83999633789062,78.13999938964844,94.94999694824219
2016-07-15,24.69499969482422,63.31999969482422,735.4400024414062,161.16000366210938,13.65999984741211,145.97000122070312,166.41000366210938,107.02999877929688,99.80000305175781,116.86000061035156,719.8499755859375,735.6300048828125,134.77999877929688,123.0,64.18000030517578,45.630001068115234,90.93000030517578,53.70000076293945,13.175000190734863,34.886146545410156,86.01000213623047,44.08000183105469,141.3300018310547,78.30000305175781,95.12000274658203
2016-07-18,24.957500457763672,63.560001373291016,736.0700073242188,162.3300018310547,14.109999656677246,146.57000732421875,167.50999450683594,106.08999633789062,100.1500015258789,119.37000274658203,733.780029296875,753.2000122070312,136.33999633789062,123.13999938964844,63.959999084472656,45.630001068115234,91.5999984741211,53.959999084472656,13.242500305175781,34.76280975341797,85.93000030517578,45.25,140.75,78.30999755859375,94.81999969482422
2016-07-19,24.967500686645508,63.31999969482422,739.9500122070312,160.52999877929688,14.260000228881836,146.9199981689453,168.1199951171875,106.04000091552734,99.47000122070312,120.61000061035156,736.9600219726562,753.4099731445312,136.97999572753906,125.25,63.86000061035156,45.630001068115234,92.37999725341797,53.09000015258789,13.380000114440918,34.76280975341797,86.16999816894531,45.051998138427734,142.58999633789062,78.72000122070312,94.47000122070312
